"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"pya_online","President and CEO",2809,442,17,292,"https://t.co/CTZnEMEACN","Bill Farinella",2015-12-29 18:57:17,FALSE,FALSE,"pya_online","New Jersey, USA","en","4645950862",68,FALSE,"http://pbs.twimg.com/profile_images/681912885812064256/TS1R9s4r_normal.jpg"
"cometojohnwyn","",396,43,182,70,NA,"xxxJoanne",2016-12-19 02:57:52,FALSE,FALSE,"cometojohnwyn","","en","810680521663664128",1,FALSE,"http://pbs.twimg.com/profile_images/810681088834158592/BBbqXdvH_normal.jpg"
"1nebraskaguy1","little mons‚Ä†er, psychologist",29879,811,3202,793,NA,"dirty b*tch",2011-08-10 17:43:29,FALSE,FALSE,"1nebraskaguy1","Venus","pt","352479390",9,FALSE,"http://pbs.twimg.com/profile_images/797142101146423296/JC3yM_Fx_normal.jpg"
"socialnewstweet","Getting the word out.",15684,139982,0,22391,"https://t.co/xFyNt1xX1w","News Tweets",2016-07-09 20:44:31,FALSE,FALSE,"socialnewstweet","","en","751879730089959425",701,FALSE,"http://pbs.twimg.com/profile_images/751884881773244416/eD_Zv9NA_normal.jpg"
"Avid","Follow to go behind the scenes of the world's most listened to, most watched, and most loved media in the world. Customer Care is standing by at @AvidSupport.",8082,73845,2348,1856,"http://t.co/FK9Kn90YoL","Avid",2011-07-14 00:29:09,FALSE,TRUE,"Avid","Worldwide","en","334999986",1197,FALSE,"http://pbs.twimg.com/profile_images/659755913335709696/3fzPW2Ob_normal.png"
"len_vladislav","",4215,223,10755,311,NA,"xoxo,vlad",2016-10-06 20:45:50,FALSE,FALSE,"len_vladislav","New York, USA","en","784132582409662464",1,FALSE,"http://pbs.twimg.com/profile_images/805824144726249472/mO-0oq3c_normal.jpg"
"ot3tOPyLJjz7A93","",259,10,229,55,NA,"Sally White",2017-01-30 17:38:44,FALSE,FALSE,"ot3tOPyLJjz7A93","","ru","826122485565419523",0,FALSE,"http://pbs.twimg.com/profile_images/829278295573270528/GF7a4HuR_normal.jpg"
"blephfilmvirzo1","",27,1,26,7,NA,"–ê–Ω–Ω–∞",2017-02-14 04:38:35,FALSE,FALSE,"blephfilmvirzo1","","ru","831361973099102212",0,FALSE,"http://pbs.twimg.com/profile_images/832573841096527872/z5ov92NL_normal.jpg"
"LABertsch5","",318,16,453,51,NA,"Leslie Bertsch",2015-11-26 20:18:39,FALSE,FALSE,"LABertsch5","","en","4288813817",1,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png"
"SusanAyers09","Wife Ì†ΩÌ≤ç, Proud Mother, Conservative Republican, Animal Lover and Love Trump ‚ù§Ô∏è",2466,525,3766,879,NA,"Susan A",2016-11-22 21:41:00,FALSE,FALSE,"SusanAyers09","","en","801178691602706434",3,FALSE,"http://pbs.twimg.com/profile_images/805201635588894722/OYAQ5xoE_normal.jpg"
"QIUikBZr8A5fEOd","",270,2,238,54,NA,"Leah Welch",2017-01-27 13:56:17,FALSE,FALSE,"QIUikBZr8A5fEOd","","ru","824979342841217025",0,FALSE,"http://pbs.twimg.com/profile_images/829277110732730368/ApYLqaIq_normal.jpg"
"ifymbanefo","skatergirlz Ì†ºÌºπ@ify_ii",20777,1250,31712,487,NA,"IF¬•ENN",2013-02-11 18:57:16,FALSE,FALSE,"ifymbanefo","","en","1169746009",4,FALSE,"http://pbs.twimg.com/profile_images/831617970761768962/2cpguO2T_normal.jpg"
"RitcheyLyda","",933,50,807,235,NA,"Lyda Ritchey",2016-12-27 08:16:53,FALSE,FALSE,"RitcheyLyda","","ru","813659906071003136",6,FALSE,"http://pbs.twimg.com/profile_images/814241928925630464/oBpPasGQ_normal.jpg"
"Arexoli","",1431,111,536,1493,NA,"Alexandre Vigeant",2013-10-20 15:16:36,FALSE,FALSE,"Arexoli","","fr","1975461481",0,FALSE,"http://pbs.twimg.com/profile_images/378800000623813557/61688b8082a988e257729bca3030f2ea_normal.jpeg"
"xo_frontin","1.2.15‚ù§Ô∏è",1996,113,2654,262,NA,"Alexandra Frontin",2015-12-06 00:39:50,FALSE,FALSE,"xo_frontin","","en","4388475803",2,FALSE,"http://pbs.twimg.com/profile_images/828722629750185985/8eu6nnsM_normal.jpg"
"MALIKYINKA","retired.",41543,1517,19353,679,NA,"„Ö§",2010-01-07 10:34:13,FALSE,FALSE,"MALIKYINKA","unknown.","en","102639390",16,FALSE,"http://pbs.twimg.com/profile_images/832355453757771776/Abnv41MX_normal.jpg"
"pelotamedio","Programa deportivo que se emite por FM 92.1 @radiounla de lunes a viernes de 13:30 a 15 hs  Conducci√≥n Luciano Osorio y Javier Tumba Lorenzo.",2005,170,25,333,"https://t.co/JIGEwLNRCI","Pelota al medio",2014-10-27 18:21:08,FALSE,FALSE,"pelotamedio","Lan√∫s Oeste, Argentina","es","2847040245",3,FALSE,"http://pbs.twimg.com/profile_images/745650723757629440/v24A2dZL_normal.jpg"
"monster_artists","This page is dedicated to the arts related to Lady Gaga made by Little Monsters!! Make ART, Make MonsterArt!!",2320,263,543,23,"https://t.co/DoWJko09nn","MonsterArtists",2015-04-18 15:18:39,FALSE,FALSE,"monster_artists","Artistry of Monsters ","en","3179728821",59,FALSE,"http://pbs.twimg.com/profile_images/826895843118682112/_gb57mP9_normal.jpg"
"agjM5IHo46PcU9u","",383,15,348,110,NA,"–õ–∏–¥–∏—è –°—É—Ö–∞–Ω–æ–≤–∞",2017-01-24 10:09:20,FALSE,FALSE,"agjM5IHo46PcU9u","","ru","823835065314582528",3,FALSE,"http://pbs.twimg.com/profile_images/824659151108395008/RVXVJ0eo_normal.jpg"
"hamadstyles89","Passionn√©e : M√©dias,T√©l√©,Radio,Sport",38512,199,144,96,NA,"Hamad N'dao",2015-03-22 15:41:23,FALSE,FALSE,"hamadstyles89","Remiremont, France","fr","3105042886",181,FALSE,"http://pbs.twimg.com/profile_images/806816888663707648/JR-P3SGY_normal.jpg"
"alona_mccurdy","",764,48,625,173,NA,"Alona Mccurdy",2017-01-07 18:58:10,FALSE,FALSE,"alona_mccurdy","","ru","817807558547308544",2,FALSE,"http://pbs.twimg.com/profile_images/818228257346715648/Nig9DUxt_normal.jpg"
"SLSCountryMusic","#CountryMusic's Hottest Lyrics, Quotes #SLSCountryMusic Music Marketing - #SouthCarolina #Dixie #TheSouth #CMchat Follow @SimplyLadySouth",124,9679,668,2,NA,"SLS Country Music",2013-03-30 12:59:52,FALSE,FALSE,"SLSCountryMusic","South Carolina, USA","en","1316403806",26,FALSE,"http://pbs.twimg.com/profile_images/676059738770186240/6k0SsBkb_normal.jpg"
"tAUPzMIH8B6yTRZ","",266,1,266,61,NA,"Abigail Mackenzie",2017-01-27 13:14:42,FALSE,FALSE,"tAUPzMIH8B6yTRZ","","ru","824968878203817984",0,FALSE,"http://pbs.twimg.com/profile_images/829290204192190471/kMnU72U8_normal.jpg"
"welovesports247","We host a wide variety of sports goods and collectables! Like and FOLLOW us on TWITTER",81643,169,54,101,NA,"Sports Shop",2016-01-24 02:33:52,FALSE,FALSE,"welovesports247","","en","4805568194",77,FALSE,"http://pbs.twimg.com/profile_images/691087029719822337/ynto5tis_normal.png"
"sportsvenuesfla","Building superior sports facilities of the future for the youth of today.",29341,67857,1082,39316,"https://t.co/4wfqywUIPY","Sports Venues FLA",2011-08-20 12:50:15,FALSE,FALSE,"sportsvenuesfla","Central Florida","en","358750258",951,FALSE,"http://pbs.twimg.com/profile_images/614608161190756352/gHZcB9mV_normal.jpg"
"GRJdBPtZvSXJMAl","",456,21,417,109,NA,"–ù–∞—Ç–∞—à–∞ –ï–≥–æ—Ä–æ–≤–∞",2017-01-24 09:53:20,FALSE,FALSE,"GRJdBPtZvSXJMAl","","ru","823831038199742464",1,FALSE,"http://pbs.twimg.com/profile_images/824659188781613061/-JM9-s3S_normal.jpg"
"P9Tfc2NHpnkTC8C","",251,4,195,56,NA,"Deirdre Parsons",2017-01-31 03:34:06,FALSE,FALSE,"P9Tfc2NHpnkTC8C","","ru","826272315667312640",0,FALSE,"http://pbs.twimg.com/profile_images/829277372901908482/74u5dCKQ_normal.jpg"
"into_thev0id","your eyes were full of regret~ // the best you never had Ì†ΩÌ∏á // ur problematic fave",5431,110,2193,237,NA,"Alli Ì†ΩÌ±Ω‚ú®",2016-08-22 23:48:42,FALSE,FALSE,"into_thev0id","Outer Space","en","767871144519139329",8,FALSE,"http://pbs.twimg.com/profile_images/822552276745277443/KXn-e2kb_normal.jpg"
"SvBbR1VA7tAa5dC","",269,3,238,54,NA,"Una Wilson",2017-01-31 05:55:26,FALSE,FALSE,"SvBbR1VA7tAa5dC","","ru","826307885609140225",0,FALSE,"http://pbs.twimg.com/profile_images/829277312709451776/Of0QsIBW_normal.jpg"
"qzpLpMoKwYF3CCG","",251,5,241,64,NA,"Dorothy Turner",2017-01-31 07:48:33,FALSE,FALSE,"qzpLpMoKwYF3CCG","","ru","826336352346263552",0,FALSE,"http://pbs.twimg.com/profile_images/829278353974816769/C8_nlxXE_normal.jpg"
"stepankarpovdtr","Profundamente argentina. Lucho por la justicia social. Melomana serial. #FollowBack",114,527,2,483,NA,"Regina Fernandez",2016-10-06 19:24:46,FALSE,FALSE,"stepankarpovdtr","Gregorio de Laferrere, Argentina.","es","784112180941688833",0,FALSE,"http://pbs.twimg.com/profile_images/795726419057774592/2yFXtnJF_normal.jpg"
"Medicus0012","Introducing folks to the latest awesome
sports app Firefan! Play on Andriod or
iPhone. Register and download it today: 
https://t.co/qW3NzWCZWH",1603,1469,56,2306,"https://t.co/qW3NzWCZWH","Steve M.",2014-09-05 11:48:41,FALSE,FALSE,"Medicus0012","Washington, DC","en","2791804717",33,FALSE,"http://pbs.twimg.com/profile_images/804304838683164672/pECW4l5y_normal.jpg"
"QXu60tNnDzDeMkI","",420,15,347,108,NA,"–ò—Ä–∏–Ω–∞ –ö—Ä—É–≥–ª–æ–≤–∞",2017-01-24 09:39:12,FALSE,FALSE,"QXu60tNnDzDeMkI","","ru","823827479949414402",1,FALSE,"http://pbs.twimg.com/profile_images/824659207819517954/wziW9cX__normal.jpg"
"qF23CECWsfikp4L","",274,3,235,52,NA,"Wendy North",2017-01-27 14:54:44,FALSE,FALSE,"qF23CECWsfikp4L","","ru","824994050809987075",0,FALSE,"http://pbs.twimg.com/profile_images/829290184541925376/oAyKLRJD_normal.jpg"
